date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:39:19	158626/158626	---M--	200	added ('OK')	image/jpeg	etag:%2226ba2-4b6849b393ac0%22	http://my-site:5000/resources/random_img/music0009.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/music0009.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:24	71586/71586	---M--	200	added ('OK')	image/jpeg	etag:%22117a2-4b6849a72dd80%22	http://my-site:5000/resources/random_img/awards004.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/awards004.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:28	94378/94378	---M--	200	added ('OK')	image/jpeg	etag:%22170aa-4b60b16e75f00%22	http://my-site:5000/resources/random_img/ubi_dsf002.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/ubi_dsf002.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:31	78058/78058	---M--	200	added ('OK')	image/jpeg	etag:%22130ea-4b6849afc31c0%22	http://my-site:5000/resources/random_img/music0001.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/music0001.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:36	73360/73360	---M--	200	added ('OK')	image/jpeg	etag:%2211e90-4b6849a639b40%22	http://my-site:5000/resources/random_img/awards003.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/awards003.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:54	160810/160810	---M--	200	added ('OK')	image/jpeg	etag:%222742a-4b6849aecef80%22	http://my-site:5000/resources/random_img/dscn0077.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/dscn0077.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:56	123429/123429	---M--	200	added ('OK')	image/jpeg	etag:%221e225-4b6849c2d5ec0%22	http://my-site:5000/resources/random_img/ubi_grfs001.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/ubi_grfs001.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:56	155831/155831	---M--	200	added ('OK')	image/jpeg	etag:%22260b7-4b6849b487d00%22	http://my-site:5000/resources/random_img/music0011.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/music0011.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:39:57	16836/16836	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:39:56%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/commercial-titles/114-201x-ubisoft-the-crew	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/commercial-titles/114-201x-ubisoft-the-crew.html	(from http://my-site:5000/cms/joomla17/index.php)
23:39:58	23402/23402	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:39:57%20GMT	http://my-site:5000/cms/joomla17/index.php/lifeblog/113-songbook-kashiwagi-yuki-shortcake	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/lifeblog/113-songbook-kashiwagi-yuki-shortcake.html	(from http://my-site:5000/cms/joomla17/index.php)
23:39:59	18674/18674	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:39:57%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/commercial-titles/112-2013-creative-assembly-rome-2	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/commercial-titles/112-2013-creative-assembly-rome-2.html	(from http://my-site:5000/cms/joomla17/index.php)
23:39:59	16993/16993	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:39:58%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/commercial-titles/111-201x-ubisoft-watch-dogs	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/commercial-titles/111-201x-ubisoft-watch-dogs.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:00	22943/22943	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:39:59%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/personal-works/110-fxcomposer-scrapbook-2011	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/personal-works/110-fxcomposer-scrapbook-2011.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:01	15969/15969	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:39:59%20GMT	http://my-site:5000/cms/joomla17/index.php/developerblog/109-a-very-funny-spoof-of-driversf	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/developerblog/109-a-very-funny-spoof-of-driversf.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:02	17786/17786	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:40:01%20GMT	http://my-site:5000/cms/joomla17/index.php/developerblog/108-dancing-for-just-dance-due-to-the-world-dance-day	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/developerblog/108-dancing-for-just-dance-due-to-the-world-dance-day.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:04	20784/20784	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:40:01%20GMT	http://my-site:5000/cms/joomla17/index.php/lifeblog/107-manga-slam-dunk	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/lifeblog/107-manga-slam-dunk.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:05	18837/18837	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:40:04%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/commercial-titles/86-2009-ubisoft-driver-san-francisco	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/commercial-titles/86-2009-ubisoft-driver-san-francisco.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:12	41446/41446	---M--	200	added ('OK')	image/jpeg	etag:%22a1e6-4b61680209f80%22	http://my-site:5000/cms/joomla17/cache/lofthumbs/560x315-cgt12_cgame002.jpg	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/cache/lofthumbs/560x315-cgt12_cgame002.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:40:13	21452/21452	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:40:12%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/personal-works/7-y1s2-c-textgame	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/personal-works/7-y1s2-c-textgame.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:14	245/245	---M--	302	error ('Found')	text/html	date:Mon,%2015%20Jul%202019%2022:40:15%20GMT	http://www.gamersyde.com/news_e3_the_crew_gameplay-14202.jpg	h:/web3_joomla17/web3/www.gamersyde.com/news_e3_the_crew_gameplay-14202.32.delayed	(from http://my-site:5000/cms/joomla17/index.php)
23:40:16	408172/408172	---M--	200	added ('OK')	image/jpeg	etag:%2263a6c-4b6849addad40%22	http://my-site:5000/resources/random_img/dare07.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/dare07.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:40:19	96898/96898	---M--	200	added ('OK')	image/jpeg	etag:%2217a82-4b616562a6f80%22	http://my-site:5000/cms/joomla17/cache/lofthumbs/560x315-ubi_dsf001.jpg	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/cache/lofthumbs/560x315-ubi_dsf001.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:40:21	25137/25137	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:40:19%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/personal-works/32-procedural-generation-2008	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/personal-works/32-procedural-generation-2008.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:21	154444/154444	---M--	200	added ('OK')	image/jpeg	etag:%2225b4c-4b6849a545900%22	http://my-site:5000/resources/random_img/awards002.jpg	h:/web3_joomla17/web3/my-site_5000/resources/random_img/awards002.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:40:23	23090/23090	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:40:21%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/personal-works/10-y1s2-gba-alien	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/personal-works/10-y1s2-gba-alien.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:26	70388/70388	---M--	200	added ('OK')	image/jpeg	etag:%22112f4-4dee9a0b7f800%22	https://www.gamersyde.com/news_e3_the_crew_gameplay-14202.jpg	h:/web3_joomla17/web3/www.gamersyde.com/news_e3_the_crew_gameplay-14202.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:40:28	24352/24352	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:40:26%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/personal-works/6-y2s2-ps2-eecore	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/personal-works/6-y2s2-ps2-eecore.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:38	132496/132496	---M--	200	added ('OK')	image/jpeg	etag:%2220590-4b616562a6f80%22	http://my-site:5000/cms/joomla17/cache/lofthumbs/560x315-cgt32_terrain007.jpg	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/cache/lofthumbs/560x315-cgt32_terrain007.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:40:39	16717/16717	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:40:38%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/commercial-titles/98-2011-ubisoft-ghostreconfuturesoldier	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/commercial-titles/98-2011-ubisoft-ghostreconfuturesoldier.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:48	165528/165528	---M--	200	added ('OK')	image/jpeg	etag:%2228698-4b61673d95000%22	http://my-site:5000/cms/joomla17/cache/lofthumbs/560x315-cgt12_gba005.jpg	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/cache/lofthumbs/560x315-cgt12_gba005.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:40:48	155364/155364	---M--	200	added ('OK')	image/jpeg	etag:%2225ee4-4b616855f6580%22	http://my-site:5000/cms/joomla17/cache/lofthumbs/560x315-cgt22_ps2doom006.jpg	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/cache/lofthumbs/560x315-cgt22_ps2doom006.jpg	(from http://my-site:5000/cms/joomla17/index.php)
23:40:50	18588/18588	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:40:48%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/personal-works/101-equilibrium-2010	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/personal-works/101-equilibrium-2010.html	(from http://my-site:5000/cms/joomla17/index.php)
23:40:51	24421/24421	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jul%202019%2022:40:50%20GMT	http://my-site:5000/cms/joomla17/index.php/projects/personal-works/4-y1s1-flashgame	h:/web3_joomla17/web3/my-site_5000/cms/joomla17/index.php/projects/personal-works/4-y1s1-flashgame.html	(from http://my-site:5000/cms/joomla17/index.php)
